timestamp,value
1613133483.346, 3341463552
1613133503.346, 3339386880
1613133523.346, 3340845056
1613133543.346, 3342561280
1613133563.346, 3341307904
1613133583.346, 3341660160
1613133603.346, 3341283328
1613133623.346, 3342606336
1613133643.346, 3342770176
1613133663.346, 3340668928
1613133683.346, 3341467648
1613133703.346, 3342659584
1613133723.346, 3342532608
1613133743.346, 3342565376
1613133763.346, 3342643200
1613133783.346, 3342557184
1613133803.346, 3342557184
1613133823.346, 3341340672
1613133843.346, 3341455360
1613133863.346, 3342413824
1613133883.346, 3342450688
1613133903.346, 3341131776
1613133923.346, 3342393344
1613133943.346, 3341266944
1613133963.346, 3339972608
1613133983.346, 3342569472
1613134003.346, 3342442496
1613134023.346, 3342479360
1613134043.346, 3342553088
1613134063.346, 3341676544
1613134083.346, 3342491648
1613134103.346, 3342528512
1613134123.346, 3342569472
1613134143.346, 3341832192
1613134163.346, 3342393344
1613134183.346, 3342557184
1613134203.346, 3342626816
1613134223.346, 3342462976
1613134243.346, 3341758464
1613134263.346, 3342647296
1613134283.346, 3342680064
1613134303.346, 3342356480
1613134323.346, 3342458880
1613134343.346, 3342503936
1613134363.346, 3341090816
1613134383.346, 3342479360
1613134403.346, 3341103104
1613134423.346, 3341606912
1613134443.346, 3342336000
1613134463.346, 3341590528
1613134483.346, 3342405632
1613134503.346, 3342311424
1613134523.346, 3342344192
1613134543.346, 3339333632
1613134563.346, 3339599872
1613134583.346, 3342467072
1613134603.346, 3342311424
1613134623.346, 3341373440
1613134643.346, 3342479360
1613134663.346, 3342516224
1613134683.346, 3342266368
1613134703.346, 3342299136
1613134723.346, 3342499840
1613134743.346, 3341119488
1613134763.346, 3342569472
1613134783.346, 3341053952
1613134803.346, 3342389248
1613134823.346, 3341299712
1613134843.346, 3342458880
1613134863.346, 3341750272
1613134883.346, 3341045760
1613134903.346, 3341316096
1613134923.346, 3342577664
1613134943.346, 3342520320
1613134963.346, 3342561280
1613134983.346, 3342467072
1613135003.346, 3342544896
1613135023.346, 3341127680
1613135043.346, 3342417920
1613135063.346, 3341574144
1613135083.346, 3339980800
1613135103.346, 3342438400
1613135123.346, 3342471168
1613135143.346, 3342540800
1613135163.346, 3342413824
1613135183.346, 3340902400
1613135203.346, 3341041664
1613135223.346, 3338637312
1613135243.346, 3342479360
1613135263.346, 3340562432
1613135283.346, 3341078528
1613135303.346, 3342536704
1613135323.346, 3341086720
1613135343.346, 3342475264
1613135363.346, 3342508032
1613135383.346, 3342708736
1613135403.346, 3342655488
1613135423.346, 3342598144
1613135443.346, 3342405632
1613135463.346, 3341348864
1613135483.346, 3342548992
1613135503.346, 3342454784
1613135523.346, 3342438400
1613135543.346, 3342475264
1613135563.346, 3342278656
1613135583.346, 3341762560
1613135603.346, 3342487552
1613135623.346, 3342458880
1613135643.346, 3341815808
1613135663.346, 3342499840
1613135683.346, 3341185024
1613135703.346, 3342573568
1613135723.346, 3340578816
1613135743.346, 3342483456
1613135763.346, 3342520320
1613135783.346, 3341946880
1613135803.346, 3342659584
1613135823.346, 3340079104
1613135843.346, 3341099008
1613135863.346, 3341193216
1613135883.346, 3341942784
1613135903.346, 3342422016
1613135923.346, 3341541376
1613135943.346, 3342434304
1613135963.346, 3342438400
1613135983.346, 3341094912
1613136003.346, 3342450688
1613136023.346, 3341328384
1613136043.346, 3342520320
1613136063.346, 3342438400
1613136083.346, 3342376960
1613136103.346, 3342540800
1613136123.346, 3342462976
1613136143.346, 3342503936
1613136163.346, 3342573568
1613136183.346, 3342483456
1613136203.346, 3342290944
1613136223.346, 3341074432
1613136243.346, 3341758464
1613136263.346, 3342356480
1613136283.346, 3342413824
1613136303.346, 3341705216
1613136323.346, 3341168640
1613136343.346, 3342303232
1613136363.346, 3342499840
1613136383.346, 3342532608
1613136403.346, 3341053952
1613136423.346, 3342479360
1613136443.346, 3342548992
1613136463.346, 3341737984
1613136483.346, 3339169792
1613136503.346, 3342278656
1613136523.346, 3342446592
1613136543.346, 3342516224
1613136563.346, 3340632064
1613136583.346, 3338989568
1613136603.346, 3342409728
1613136623.346, 3341799424
1613136643.346, 3342475264
1613136663.346, 3342540800
1613136683.346, 3341197312
1613136703.346, 3342647296
1613136723.346, 3341623296
1613136743.346, 3342499840
1613136763.346, 3342536704
1613136783.346, 3342544896
1613136803.346, 3342577664
1613136823.346, 3339440128
1613136843.346, 3341008896
1613136863.346, 3341303808
1613136883.346, 3342336000
1613136903.346, 3342475264
1613136923.346, 3342352384
1613136943.346, 3342385152
1613136963.346, 3342422016
1613136983.346, 3342491648
1613137003.346, 3342397440
1613137023.346, 3341594624
1613137043.346, 3342409728
1613137063.346, 3342606336
1613137083.346, 3341504512
1613137103.346, 3342454784
1613137123.346, 3342503936
1613137143.346, 3342364672
1613137163.346, 3340673024
1613137183.346, 3342508032
1613137203.346, 3342290944
1613137223.346, 3342323712
1613137243.346, 3342360576
1613137263.346, 3342434304
1613137283.346, 3342336000
1613137303.346, 3342372864
1613137323.346, 3341496320
1613137343.346, 3340124160
1613137363.346, 3340914688
1613137383.346, 3340812288
1613137403.346, 3341524992
1613137423.346, 3341180928
1613137443.346, 3342446592
1613137463.346, 3342315520
1613137483.346, 3342479360
1613137503.346, 3340627968
1613137523.346, 3339087872
1613137543.346, 3341455360
1613137563.346, 3341066240
1613137583.346, 3340877824
